ID,Q1_FindBooking,Q2_BookingProcess,Q3_Time,Q4_StepsInteractedWith,Q5_TipsClarity,Q6_TipsRelevance,Q7_Navigation,Q8_DataHandlingClarity,Q9_WorkedWell,Q10_Improvements,Codes,Theme,,,
R080,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,The confirmation screen was short and actionable.,Earlier descriptions felt vague. Use examples for each service type and add a help icon.,"Accessibility, Validation, Support",Ease of Use,,,
R081,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Relevant,Difficult,Very unclear,Email confirmation was instant and easy to file.,The privacy statement needs an at-a-glance overview. Add headings and icons and keep the legal detail behind a link.,"Readability, Structure, Density",Trust & Understanding,,,
R082,Easy,Difficult,5-10 minutes,Reviewing information|Confirming the booking,Unclear,Irrelevant,Easy,Unclear,The final layout was clean and predictable.,"Errors appeared only after submit. Validate live and provide examples (e.g., ""07123 456789"").","Progress, Context, Guidance",Performance & Reliability,,,
R083,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Very clear,Relevant,Difficult,Unclear,"The calendar shortcuts to ""today"" and ""tomorrow"" helped.",The homepage layout hid the key action. Move booking to the top and reduce card clutter.,"Visibility, Hierarchy, Priority",Trust & Understanding,,,
R084,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Very unclear,The colour palette is pleasant and not clinical.,"The journey felt like trial and error at first. Provide a simple ""Start here"" and reduce menu duplication.","Performance, Trust, Clarity",Ease of Use,,,
R085,Easy,Difficult,5-10 minutes,Selecting a service|Entering details|Confirming the booking,Clear,Relevant,Difficult,Unclear,I liked how the final screen offered reschedule guidance.,"The address field didn""t accept my postcode format. Support common UK formats and add postcode lookup.","Efficiency, Simplicity, Autofill",Ease of Use,,,
R086,Difficult,Easy,2-5 minutes,Choosing a date/time|Reviewing information,Very clear,Irrelevant,Easy,Unclear,Short steps with clear buttons made the end smooth.,The services page felt dense. Add sub-headings and a search.,"Visibility, Navigation, Priority",Trust & Understanding,,,
R087,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Relevant,Difficult,Very unclear,"The confirmation gave me confidence I hadn""t made a mistake.","The mid-flow screens asked a lot without context. Add short ""why we ask"" notes and show progress.","Consistency, Feedback, Validation",Performance & Reliability,,,
R088,Easy,Difficult,5-10 minutes,Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Unclear,I could tap through the end quickly; buttons were consistent.,"Earlier, I wasn""t sure what to do next. Add a three-step overview before I begin.","Clarity, Guidance, Examples",Trust & Understanding,,,
R089,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time,Very clear,Very relevant,Difficult,Unclear,The tips on healthy routines were bite-sized and practical.,The starting route needs clarity. Place booking at the top and collapse non-critical content.,"Hierarchy, Visibility, Priority",Ease of Use,,,
R090,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Very unclear,Typography is accessible and consistent across pages.,Calendar performance needs work and privacy wording should be simplified with an at-a-glance panel.,"Efficiency, Flow, Simplicity",Ease of Use,,,
R091,Easy,Difficult,5-10 minutes,Selecting a service|Reviewing information|Confirming the booking,Clear,Relevant,Difficult,Unclear,The final step was reassuring and quick.,"The earlier journey had too many fields. Mark optional items, remove duplicates, and allow autofill.","Feedback, Guidance, Clarity",Trust & Understanding,,,
R092,Difficult,Easy,2-5 minutes,Choosing a date/time|Confirming the booking,Very clear,Irrelevant,Easy,Unclear,"The slot list prioritised soonest times, which helped.","It still took a while to discover where to start. Add a large ""Book now"" button visible on first load.","Consistency, Stability, Navigation",Performance & Reliability,,,
R093,Very difficult,Difficult,Over 10 minutes,Selecting a service|Choosing a date/time|Entering details,Clear,Relevant,Difficult,Very unclear,Confirmation email subject line was clear and easy to search later.,Back navigation caused resets. Persist inputs and add inline validation to cut retries.,"Visibility, Hierarchy, Priority",Trust & Understanding,,,
R094,Easy,Difficult,5-10 minutes,Entering details|Reviewing information,Unclear,Irrelevant,Easy,Unclear,Readable labels and steady button placement reduced errors.,Some field names were ambiguous. Provide short examples and mark required items clearly.,"Accessibility, Efficiency, Shortcuts",Ease of Use,,,
R095,Difficult,Easy,2-5 minutes,Selecting a service|Choosing a date/time|Confirming the booking,Very clear,Relevant,Difficult,Unclear,I appreciated the straightforward copy near the confirm button.,The homepage hierarchy was muddled. Move booking to the top and trim non-essential cards.,"Clarity, Guidance, Examples",Ease of Use,,,
R096,Very difficult,Difficult,Over 10 minutes,Choosing a date/time|Entering details|Confirming the booking,Unclear,Irrelevant,Easy,Very unclear,The final screen looked trustworthy and complete.,"The earlier path was slow and confusing. Use a fixed header, a stepper, and fewer required fields.","Trust, Transparency, Readability",Trust & Understanding,,,
